town,accountants_per_10000_residents_2013,apartments_condos_multis_per_residential_parcels_2011,architects_per_10000_2013,assessed_home_value_changes_2009-2013,barbers_per_10000_residents_2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,construction_supervisors_per_10000_2013,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,dentists_per_10000_2013,doctors_per_10000_residents_2013,education_spending_as_a_percent_2012,education_spending_per_resident_2012,electricians_per_1000_residents_2013,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,funeral_directors_per_10000_2013,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,massage_therapists_per_10000_2012,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,real_estate_professionals_per_1000_residents_2013,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,tax_bills_for_single-family_homes_2012,tax_bills_for_single-family_homes_2013,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,veterinarians_per_10000_2013,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,2020_label
Abington,29.4,0.219,3.8,-0.149,8.1,12.1,137.6,63.5,9.9,435.7,24.3,0.129,3.1,144.2,35,4.4,9.4,50.1,1218,8.4,2315,51.1,4.59,106,18.4,1.9,51.2,1.3,7.5,26.9,5.8,2.61,25.1,14.0,8.1,29299 ,0.06,0.7,18.1,10,39.3,69.6,7.2,0.104,21.9,46.1,154,16.2,6.6,1.24,0.005,221,0.136,11855,10,85.5,25.1,-0.114,35.6,5.0,19.4,0.872,7.1,4600,4756,92.9,73887 ,0.32,354,1.3,25.3,10902,0.51,light blue
Acton,36.0,0.329,10.5,-0.004,1.8,8.2,69.8,10.4,8.5,486.8,22.5,0.273,1.8,68.1,88,14.1,24.6,67.2,2336,1.0,3474,50.9,3.3,115,7.5,1.8,35.5,3.2,3.4,9,7.3,2.66,23,33.1,3.1,55496 ,-0.06,0.3,14.6,18,40.8,76,39,-0.231,11.1,24.4,149,20.4,4.3,5.25,0.01,108,0.15,11669,10,87.2,12.2,-0.017,31.9,3.2,8.7,0.968,6.3,9259,9650,93.7,75741 ,0.31,280,6.4,10.3,14398,0.34,wicked blue
Acushnet,7.8,0.05,0.0,-0.188,7.8,8.0,287.3,41.7,10.9,476.4,23.2,0.0,3.9,57.3,25,1.0,0.0,62.1,1353,8.6,2120,50.9,1.79,38,11.1,0.0,89.0,1,6.4,19.9,6.1,2.62,22.2,8.1,11.3,25483 ,-0.01,0.5,16.5,9,41.6,67.4,1.5,0.194,40,47.8,145,16.4,6.8,1.34,0.001,135,0.109,11533,8,91.8,37.9,-0.052,47.1,3.9,26.8,0.921,4.9,3306,3380,95.1,57227 ,0.43,379,1.9,12.5,7478,0.44,red
Adams,5.9,0.209,1.2,-0.051,11.8,10.3,212.1,77.1,10,375.1,,0.006,3.5,55.5,59,2.4,7.1,38.4,538,6.1,1010,51.8,0.05,1,15.4,4.7,107.4,18.9,10.2,57.9,5.7,2.17,35,10.5,11.9,18626 ,-0.07,0.8,25.9,6,41.8,42.7,,-0.095,27,15.4,98,22.3,9.7,-0.29,-0.006,226,0.128,,6,82.7,5.4,,44.3,251.4,15.1,0.928,12,2472,2453,88.0,,,366,0.0,48.2,5980,-0.03,medium blue
Agawam,15.1,0.214,1.4,-0.107,8.1,9.6,246.1,19.3,9.7,487.5,19.2,0.144,4.9,98.7,40,5.6,8.4,46.5,1208,2.8,2581,52.2,4.67,121,17.9,2.5,,1.4,17.6,15.6,5.7,2.38,30,10.9,8.5,25179 ,-0.01,0.3,16.5,8,43.9,57.5,10.5,0.329,23.1,29.8,149,21.3,5.8,1.8,0.001,95,0.154,13398,8,76,13.0,-0.054,42.8,41.8,26.3,0.95,12,3150,3245,88.1,60647 ,0.36,328,2.1,11.8,21365,0.63,red
Alford,0.0,0.013,20.2,0.04,0.0,2.0,182.2,,11.3,491.9,,0.0,20.2,48.6,2,,81.0,46.5,1046,2.0,2250,53.8,2.14,48,4.0,0.0,8.1,20.2,0.0,27.4,0,2.22,27.8,19.6,13.3,36577 ,-0.07,0,,40,56.4,72.6,,0.455,32.4,22.4,64,,2.8,1.33,-0.006,,0.065,,6,97.9,0.0,,53.2,183.3,0.9,0.646,1.7,2946,2976,98.3,,,439,0.0,,372,0.49,wicked blue
Amesbury,12.9,0.362,6.1,-0.11,7.4,12.6,301.5,26.2,9.5,458.3,19.7,0.233,1.8,91.4,57,3.7,7.4,54.3,1636,4.4,2931,51.7,5.44,159,10.2,3.7,50.1,4.3,8.5,39.7,5.6,2.41,30,16.5,5.7,30355 ,0.0,0.9,15.4,20,40.5,70.8,8.6,-0.016,22.7,24.1,193,22.6,6.6,0.5,0.008,155,0.09,12377,8,83.3,29.0,-0.03,31.5,3.0,20.5,0.914,8.8,5855,5984,91.2,70341 ,0.24,329,6.1,26.6,11203,0.64,medium blue
Amherst,4.0,0.268,7.1,-0.1,2.1,4.1,35.7,47.4,9.8,253.2,19.8,0.155,1.3,36.6,77,4.5,16.9,55.4,917,0.2,1654,51.1,6.15,102,10.0,0.8,15.5,4.2,19.0,21.4,13.8,2.44,27.3,43.1,3.5,15486 ,-0.16,0.1,14.5,9,21.3,42.4,49,-0.161,4.8,15.2,110,12.4,6.7,2.48,-0.001,91,0.16,18388,3,89.8,3.4,-0.127,35.6,6.9,17.4,0.914,16.7,6293,6508,83.3,66484 ,0.27,107,2.9,20.7,22425,0.52,wicked blue
Andover,52.4,0.182,8.4,-0.053,3.3,6.9,75.9,15.5,8.4,464.8,20.9,0.138,0.9,118.7,133,17.2,22.6,54,1896,2.0,3456,51.7,5.68,196,5.5,0.9,33.0,15.4,5.4,25.1,6.3,2.68,22.3,25.7,5.9,69120 ,0.0,0.2,10.2,11,43.1,73.5,22.2,-0.196,10.4,25.1,192,20.1,5.6,1.67,0.008,86,0.129,13836,14,80.1,14.6,0.017,41.2,0.3,7.1,0.817,8.6,7786,7967,91.5,77136 ,0.29,285,7.5,6.8,23490,0.42,medium blue
Aquinnah,0.0,0.014,0.0,-0.02,32.2,12.9,1639.9,,14.7,787.8,,,96.5,64.3,596,,32.2,26.2,2555,0.0,8206,50.8,,103,,0.0,101.3,128.6,21.7,11.5,17.9,2.14,37.9,19.8,0,15778 ,0.25,0,64.3,,26.3,87.3,,0.692,70.7,20.7,,127.8,15.1,2.53,0.016,,0.214,,26,97.5,83.6,,27.3,0.0,0.1,0.957,,,5387,90.8,,,682,0.0,,398,0.6,wicked blue
